season,week,team_id,team_name,score,opp_id,opp_name,opp_score,outcome,is_playoff
2023,10,7,Appalachian Hillaineers,91.92,8,The West Coast Hilltoppers,83.16,W,False
2023,11,10,We Are Climbing High,105.84,3,Rocky Hill Oysters,87.1,W,False
2023,11,3,Rocky Hill Oysters,87.1,10,We Are Climbing High,105.84,L,False
2023,11,9,Catskill Killers,91.64,1,The Allegheny Climb Hurts,102.6,L,False
2023,11,1,The Allegheny Climb Hurts,102.6,9,Catskill Killers,91.64,W,False
2023,11,6,MT KilledbyLamaro,112.46,5,Appalachian Hill to die on,103.94,W,False
2023,11,5,Appalachian Hill to die on,103.94,6,MT KilledbyLamaro,112.46,L,False
2023,11,4,Mt. Field(s),96.76,8,The West Coast Hilltoppers,103.96,L,False
2023,11,8,The West Coast Hilltoppers,103.96,4,Mt. Field(s),96.76,W,False
2023,11,2,See Moore Mount-Caffreys,76.26,7,Appalachian Hillaineers,86.98,L,False
2023,11,7,Appalachian Hillaineers,86.98,2,See Moore Mount-Caffreys,76.26,W,False
2023,12,4,Mt. Field(s),88.78,1,The Allegheny Climb Hurts,131.0,L,False
2023,12,1,The Allegheny Climb Hurts,131.0,4,Mt. Field(s),88.78,W,False
2023,12,7,Appalachian Hillaineers,144.86,10,We Are Climbing High,106.46,W,False
2023,12,10,We Are Climbing High,106.46,7,Appalachian Hillaineers,144.86,L,False
2023,12,9,Catskill Killers,100.78,5,Appalachian Hill to die on,128.86,L,False
2023,12,5,Appalachian Hill to die on,128.86,9,Catskill Killers,100.78,W,False
2023,12,8,The West Coast Hilltoppers,76.54,2,See Moore Mount-Caffreys,129.84,L,False
2023,12,2,See Moore Mount-Caffreys,129.84,8,The West Coast Hilltoppers,76.54,W,False
2023,12,6,MT KilledbyLamaro,102.18,3,Rocky Hill Oysters,45.86,W,False
2023,12,3,Rocky Hill Oysters,45.86,6,MT KilledbyLamaro,102.18,L,False
2023,13,9,Catskill Killers,88.38,3,Rocky Hill Oysters,129.54,L,False
2023,13,3,Rocky Hill Oysters,129.54,9,Catskill Killers,88.38,W,False
2023,13,1,The Allegheny Climb Hurts,132.42,8,The West Coast Hilltoppers,81.6,W,False
2023,13,8,The West Coast Hilltoppers,81.6,1,The Allegheny Climb Hurts,132.42,L,False
2023,13,5,Appalachian Hill to die on,120.26,7,Appalachian Hillaineers,130.14,L,False
2023,13,7,Appalachian Hillaineers,130.14,5,Appalachian Hill to die on,120.26,W,False
2023,13,10,We Are Climbing High,98.96,2,See Moore Mount-Caffreys,129.26,L,False
2023,13,2,See Moore Mount-Caffreys,129.26,10,We Are Climbing High,98.96,W,False
2023,13,6,MT KilledbyLamaro,132.38,4,Mt. Field(s),83.5,W,False
2023,13,4,Mt. Field(s),83.5,6,MT KilledbyLamaro,132.38,L,False
2023,14,2,See Moore Mount-Caffreys,105.04,7,Appalachian Hillaineers,99.12,W,True
2023,14,7,Appalachian Hillaineers,99.12,2,See Moore Mount-Caffreys,105.04,L,True
2023,14,6,MT KilledbyLamaro,109.74,1,The Allegheny Climb Hurts,71.48,W,True
2023,14,1,The Allegheny Climb Hurts,71.48,6,MT KilledbyLamaro,109.74,L,True
2023,14,5,Appalachian Hill to die on,68.44,10,We Are Climbing High,82.12,L,True
2023,14,10,We Are Climbing High,82.12,5,Appalachian Hill to die on,68.44,W,True
2023,14,9,Catskill Killers,83.64,3,Rocky Hill Oysters,128.56,L,True
2023,14,3,Rocky Hill Oysters,128.56,9,Catskill Killers,83.64,W,True
2023,14,8,The West Coast Hilltoppers,87.4,4,Mt. Field(s),123.62,L,True
2023,14,4,Mt. Field(s),123.62,8,The West Coast Hilltoppers,87.4,W,True
2023,15,2,See Moore Mount-Caffreys,163.52,7,Appalachian Hillaineers,92.46,W,True
2023,15,7,Appalachian Hillaineers,92.46,2,See Moore Mount-Caffreys,163.52,L,True
2023,15,6,MT KilledbyLamaro,86.34,1,The Allegheny Climb Hurts,66.12,W,True
2023,15,1,The Allegheny Climb Hurts,66.12,6,MT KilledbyLamaro,86.34,L,True
2023,15,5,Appalachian Hill to die on,75.26,10,We Are Climbing High,69.48,W,True
2023,15,10,We Are Climbing High,69.48,5,Appalachian Hill to die on,75.26,L,True
2023,15,9,Catskill Killers,111.12,3,Rocky Hill Oysters,100.62,W,True
2023,15,3,Rocky Hill Oysters,100.62,9,Catskill Killers,111.12,L,True
2023,15,8,The West Coast Hilltoppers,78.66,4,Mt. Field(s),114.84,L,True
2023,15,4,Mt. Field(s),114.84,8,The West Coast Hilltoppers,78.66,W,True
2023,16,2,See Moore Mount-Caffreys,113.02,6,MT KilledbyLamaro,77.18,W,True
2023,16,6,MT KilledbyLamaro,77.18,2,See Moore Mount-Caffreys,113.02,L,True
2023,16,1,The Allegheny Climb Hurts,110.62,7,Appalachian Hillaineers,75.78,W,True
2023,16,7,Appalachian Hillaineers,75.78,1,The Allegheny Climb Hurts,110.62,L,True
2023,16,10,We Are Climbing High,113.2,3,Rocky Hill Oysters,88.92,W,True
2023,16,3,Rocky Hill Oysters,88.92,10,We Are Climbing High,113.2,L,True
2023,16,5,Appalachian Hill to die on,87.84,4,Mt. Field(s),83.4,W,True
2023,16,4,Mt. Field(s),83.4,5,Appalachian Hill to die on,87.84,L,True
2023,16,9,Catskill Killers,126.92,8,The West Coast Hilltoppers,92.5,W,True
2023,16,8,The West Coast Hilltoppers,92.5,9,Catskill Killers,126.92,L,True
2023,17,2,See Moore Mount-Caffreys,118.7,6,MT KilledbyLamaro,152.74,L,True
2023,17,6,MT KilledbyLamaro,152.74,2,See Moore Mount-Caffreys,118.7,W,True
2023,17,1,The Allegheny Climb Hurts,93.28,7,Appalachian Hillaineers,99.36,L,True
2023,17,7,Appalachian Hillaineers,99.36,1,The Allegheny Climb Hurts,93.28,W,True
2023,17,10,We Are Climbing High,94.82,3,Rocky Hill Oysters,53.0,W,True
2023,17,3,Rocky Hill Oysters,53.0,10,We Are Climbing High,94.82,L,True
2023,17,5,Appalachian Hill to die on,69.02,4,Mt. Field(s),133.32,L,True
2023,17,4,Mt. Field(s),133.32,5,Appalachian Hill to die on,69.02,W,True
2023,17,9,Catskill Killers,101.78,8,The West Coast Hilltoppers,103.18,L,True
2023,17,8,The West Coast Hilltoppers,103.18,9,Catskill Killers,101.78,W,True
2024,1,5,Mike Evans down your Vincents,131.38,10,We Are Climbing High,97.66,W,False
2024,1,10,We Are Climbing High,97.66,5,Mike Evans down your Vincents,131.38,L,False
2024,1,4,Ants In My Eyes Jackson,71.52,9,Pirates of the Pancreas,105.76,L,False
