season,team_id,team_name,wins,losses,ties,points_for,points_against,final_standing,playoff_pct,acquisitions,drops,trades,move_to_ir
2022,8,The Skeletrex Bone Flexers,8,6,0,1414.4799999999998,1304.02,8,0,44,48,3,2
2022,9,Gainesville Muscle Hampstrs,8,6,0,1354.64,1399.66,7,0,49,49,1,3
2022,10,Hundred Dollar Clown Baby,9,5,0,1556.74,1390.06,2,0,32,32,1,0
2023,1,The Allegheny Climb Hurts,9,4,0,1367.72,1186.14,3,0,25,23,2,3
2023,2,See Moore Mount-Caffreys,12,1,0,1490.6799999999996,1122.6,1,0,50,47,5,8
2023,3,Rocky Hill Oysters,5,8,0,1159.36,1168.76,6,0,12,12,3,3
2023,4,Mt. Field(s),0,13,0,1037.5,1431.26,7,0,11,11,2,2
2023,5,Appalachian Hill to die on,6,7,0,1380.12,1357.0,8,0,24,24,2,4
2023,6,MT KilledbyLamaro,10,3,0,1450.3000000000002,1274.46,2,0,6,6,0,0
2023,7,Appalachian Hillaineers,9,4,0,1350.6799999999998,1259.52,4,0,50,49,5,10
2023,8,The West Coast Hilltoppers,4,9,0,1170.48,1415.66,10,0,43,45,3,15
2023,9,Catskill Killers,5,8,0,1291.48,1401.64,9,0,33,30,2,5
2023,10,We Are Climbing High,5,8,0,1346.24,1427.52,5,0,18,18,0,0
2024,1,2 Brothers In a Chiefs Van,10,3,0,1312.66,1111.92,4,0,24,24,2,8
2024,2,Violent Tyreek Roadshow,6,7,0,1285.5200000000002,1237.84,8,0,37,32,8,5
2024,3,Three unmuscular Michaels jr.,3,10,0,1211.16,1419.9,10,0,5,6,2,1
2024,4,Ants In My Eyes Jackson,8,5,0,1313.94,1248.14,5,0,11,11,2,7
2024,5,Mike Evans down your Vincents,8,5,0,1365.44,1311.12,1,0,49,50,3,8
2024,6,MT KilledbyLamaro,1,12,0,1024.02,1418.4,9,0,19,18,1,5
2024,7,FootBall Fondlers,5,8,0,1439.64,1449.64,7,0,29,26,6,10
2024,8,Kittl' Bits,9,4,0,1303.9599999999996,1164.04,3,0,37,37,5,15
2024,9,Pirates of the Pancreas,8,5,0,1347.2000000000005,1256.72,2,0,21,20,3,4
2024,10,We Are Climbing High,7,6,0,1289.22,1275.04,6,0,16,17,2,5
2025,1,Heroic Inspiration,16,10,0,1336.0,1246.58,6,0,27,25,1,7
2025,2,Danny Dice Rolls,10,16,0,1257.88,1264.16,8,0,42,40,5,4
2025,3,Hunters and renfrow,11,15,0,1252.5,1268.08,7,0,5,4,1,4
2025,4,Forgotten Burrows,18,8,0,1442.6999999999998,1291.04,4,0,8,8,0,5
2025,5,Constitution Check Downs,16,10,0,1341.72,1237.06,1,0,46,45,3,5
2025,6,NameOfCurseWarding,6,20,0,1203.38,1372.12,9,0,13,12,1,4
2025,7,Roll for Yardage,19,7,0,1354.76,1283.58,3,0,57,56,4,8
2025,8,"I Don't Care, I Cast Fireball",4,22,0,1090.4199999999998,1408.68,10,0,59,58,5,9
2025,9,Paladins of the Pancreas,17,9,0,1367.04,1267.02,2,0,28,26,2,5
2025,10,We Are Rolling High,13,13,0,1313.42,1321.5,5,0,22,22,2,3
